"Timestamp","Please enter any hobbies you currently have. An example response would be 'video games, cooking, football, singing'","Do you enjoy meeting new people?","Do you enjoy working in a team?","Do you enjoy exercising?","Do you enjoy creating things?","Do you enjoy challenging yourself?","Do you enjoy spending your free time with other people?","Do you enjoy learning new things?","Do you enjoy seeing yourself improve?","Do you enjoy being in nature?","Do you enjoy performing?","Do you enjoy competition?","Do you enjoy collecting things?","Do you enjoy spending time alone?","Do you enjoy expressing your abilities and skills?","Do you enjoy expressing your identity and interests?"
"2026/02/13 12:11:39 pm GMT","Video games, running, gym, playing guitar","5","3","5","5","4","5","5","5","5","5","3","4","4","5","4"
"2026/02/13 12:43:46 pm GMT","Video games, board games, gym, reading","4","3","3","4","4","5","4","5","3","3","4","2","2","4","3"
"2026/02/15 3:53:23 pm GMT","Video games, tennis, cooking","5","3","4","5","5","2","5","5","4","4","2","5","5","5","5"
"2026/02/15 3:55:15 pm GMT","Football","5","5","5","3","5","5","2","5","3","5","5","5","1","5","5"
"2026/02/15 3:58:48 pm GMT","Photography, singing","1","1","2","4","5","1","4","4","5","5","1","2","4","5","5"
"2026/02/15 7:48:47 pm GMT","Piano","5","5","3","4","3","4","5","5","4","4","3","3","3","3","3"
"2026/02/16 12:35:10 pm GMT","video games, football, cricket, swimming, martial arts","2","4","4","4","4","4","4","5","4","2","3","2","5","2","2"
"2026/02/16 5:47:15 pm GMT","football, video games, gym, paddle, basketball and any outdoor activity.","4","3","5","5","5","3","4","5","5","3","4","4","3","4","3"
"2026/02/16 5:48:43 pm GMT","scuba diving","5","5","1","5","5","5","5","5","4","4","5","3","2","2","5"
"2026/02/16 5:49:19 pm GMT","Football","3","3","4","4","5","3","4","5","4","4","5","4","4","5","3"
"2026/02/16 8:29:48 pm GMT","Esports","2","4","5","4","5","2","4","5","3","5","5","5","5","3","3"
"2026/02/17 3:52:13 pm GMT","tenis, video games, cooking, football,basketball, sightseeing, hiking, camping","3","4","5","4","4","3","4","4","5","3","4","3","4","5","4"
"2026/02/17 3:57:35 pm GMT","Cooking ","3","3","4","4","4","5","5","5","5","3","4","4","4","4","4"
"2026/02/17 3:58:55 pm GMT","Cooking","3","4","1","5","2","2","1","2","5","2","5","5","5","3","3"
"2026/02/17 4:00:04 pm GMT","reading and exercising ","4","5","4","5","4","5","3","4","5","3","3","4","1","2","2"
"2026/02/17 4:00:26 pm GMT","Stocks ❤️","1","1","1","1","1","1","5","5","5","5","5","4","5","4","3"
"2026/02/17 4:05:01 pm GMT","cooking   And painting ","5","3","2","3","5","4","3","3","3","3","4","3","3","3","2"
"2026/02/17 4:05:18 pm GMT","Football ","4","4","4","3","4","4","4","4","4","4","4","3","3","4","4"
"2026/02/17 4:06:00 pm GMT","Cooking

","4","4","2","3","3","3","3","5","4","4","5","1","3","4","4"
"2026/02/17 4:06:57 pm GMT","playing video games","4","5","4","2","3","4","3","5","4","1","4","2","4","4","2"
