"Timestamp","Please enter any hobbies you currently have. An example response would be 'video games, cooking, football, singing'","Do you enjoy meeting new people?","Do you enjoy working in a team?","Do you enjoy exercising?","Do you enjoy creating things?","Do you enjoy challenging yourself?","Do you enjoy spending your free time with other people?","Do you enjoy learning new things?","Do you enjoy seeing yourself improve?","Do you enjoy being in nature?","Do you enjoy performing?","Do you enjoy competition?","Do you enjoy collecting things?","Do you enjoy spending time alone?","Do you enjoy expressing your abilities and skills?","Do you enjoy expressing your identity and interests?"
"2026/02/13 12:11:39 PM GMT","Video games, running, gym, playing guitar","5","3","5","5","4","5","5","5","5","5","3","4","4","5","4"
"2026/02/13 12:43:46 PM GMT","Video games, board games, gym, reading","4","3","3","4","4","5","4","5","3","3","4","2","2","4","3"
"2026/02/15 3:53:23 PM GMT","Video games, tennis, cooking","5","3","4","5","5","2","5","5","4","4","2","5","5","5","5"
"2026/02/15 3:55:15 PM GMT","Football","5","5","5","3","5","5","2","5","3","5","5","5","1","5","5"
"2026/02/15 3:58:48 PM GMT","Photography, singing","1","1","2","4","5","1","4","4","5","5","1","2","4","5","5"
"2026/02/15 7:48:47 PM GMT","Piano","5","5","3","4","3","4","5","5","4","4","3","3","3","3","3"
"2026/02/16 12:35:10 PM GMT","video games, football, cricket, swimming, martial arts","2","4","4","4","4","4","4","5","4","2","3","2","5","2","2"
"2026/02/16 5:47:15 PM GMT","football, video games, gym, paddle, basketball and any outdoor activity.","4","3","5","5","5","3","4","5","5","3","4","4","3","4","3"
"2026/02/16 5:48:43 PM GMT","scuba diving","5","5","1","5","5","5","5","5","4","4","5","3","2","2","5"
"2026/02/16 5:49:19 PM GMT","Football","3","3","4","4","5","3","4","5","4","4","5","4","4","5","3"
"2026/02/16 8:29:48 PM GMT","Esports","2","4","5","4","5","2","4","5","3","5","5","5","5","3","3"
"2026/02/17 3:52:13 PM GMT","tennis, video games, cooking, football,basketball, sightseeing, hiking, camping","3","4","5","4","4","3","4","4","5","3","4","3","4","5","4"
"2026/02/17 3:57:35 PM GMT","Cooking ","3","3","4","4","4","5","5","5","5","3","4","4","4","4","4"
"2026/02/17 3:58:55 PM GMT","Cooking","3","4","1","5","2","2","1","2","5","2","5","5","5","3","3"
"2026/02/17 4:00:04 PM GMT","reading and exercising ","4","5","4","5","4","5","3","4","5","3","3","4","1","2","2"
"2026/02/17 4:00:26 PM GMT","Stocks","1","1","1","1","1","1","5","5","5","5","5","4","5","4","3"
"2026/02/17 4:05:01 PM GMT","cooking   And painting ","5","3","2","3","5","4","3","3","3","3","4","3","3","3","2"
"2026/02/17 4:05:18 PM GMT","Football ","4","4","4","3","4","4","4","4","4","4","4","3","3","4","4"
"2026/02/17 4:06:00 PM GMT","Cooking","4","4","2","3","3","3","3","5","4","4","5","1","3","4","4"
"2026/02/17 4:06:57 PM GMT","playing video games","4","5","4","2","3","4","3","5","4","1","4","2","4","4","2"
